generation_id,objective,is_feasible,path
Gen 00059,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00060,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00061,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00062,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00063,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00064,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00065,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00066,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00067,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00068,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00069,45.675999999999995,True,['1' '2' '3' '6' '17' '28' '62' '147' '137' '108' '211']
Gen 00070,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00071,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00072,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00073,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00074,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00075,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00076,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00077,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00078,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
